ID;ACCESSION;SOURCE;ORGANISM;AUTHORS;TITLE;Assembly Method;Sequencing Technology;Location/Qualifiers;genotype;organism;mol_type;isolation_source;host;country;note
2510074019;OP947211;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Ding,Q., Gan,M., Zhang,N., Chen,D., Wei,J. and Zheng,Z.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..6971;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""Rattus norvegicus""";"""China""";"""ORF1"""
2510074011;OP947209;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Ding,Q., Gan,M., Zhang,N., Chen,D., Wei,J. and Zheng,Z.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..6970;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""lung""";"""shrew""";"""China""";"""ORF1"""
2510074007;OP947208;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Ding,Q., Gan,M., Zhang,N., Chen,D., Wei,J. and Zheng,Z.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7048;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""Niviventer niviventer""";"""China""";"""ORF1"""
2510074003;OP947207;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Ding,Q., Gan,M., Zhang,N., Chen,D., Wei,J. and Zheng,Z.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..6973;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""Rattus norvegicus""";"""China""";"""ORF1"""
2510073999;OP947206;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Ding,Q., Gan,M., Zhang,N., Chen,D. and Zheng,Z.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..6978;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""Mus musculus""";"""China""";"""ORF1"""
2509916864;OQ067397;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Ding,Q., Gan,M., Zhang,N., Chen,D., Wei,J. and Zheng,z.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7009;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""Rattus norvegicus""";"""China""";"""ORF1"""
2266150366;MW835253;"Hepeviridae
";"Hepeviridae
";"El-Kafrawy,S.A., Hassan,A.M., Uthman,N.A. and Azhar,E.I.
";"RSV-B Sequence Analysis from Jeddah Saudi Arabia
";NA;NA;         1..7224;NA;"""Hepeviridae""";"""genomic RNA""";NA;"""Camelus dromedarius""";"""Saudi Arabia""";"""ORF1"""
2266150362;MW835252;"Hepeviridae
";"Hepeviridae
";"El-Kafrawy,S.A., Hassan,A.M., Uthman,N.A. and Azhar,E.I.
";"RSV-B Sequence Analysis from Jeddah Saudi Arabia
";NA;NA;         1..7224;NA;"""Hepeviridae""";"""genomic RNA""";NA;"""Camelus dromedarius""";"""Saudi Arabia""";"""ORF1"""
9626440;NC_001434;"Hepeviridae
";"Hepeviridae
";"Bi,S.L., Purdy,M.A., McCaustland,K.A., Margolis,H.S. and
";"The sequence of hepatitis E virus isolated directly from a single
";NA;NA;         1..7176;NA;"""Hepeviridae""";"""genomic RNA""";NA;NA;NA;"""ORF 1"""
2500382220;NC_076918;"Bat hepatitis E virus
";"Bat hepatitis E virus
";"Bergner,L.M., Mollentze,N., Orton,R.J., Tello,C., Broos,A., Biek,R.
";"Characterizing and Evaluating the Zoonotic Potential of Novel
";"SPAdes v. v3.10.1
";"Illumina
";         1..6632;NA;"""Bat hepatitis E virus""";"""genomic RNA""";NA;"""Desmodus rotundus""";"""Peru""";NA
2500380228;NC_076623;"Rocahepevirus ratti
";"Rocahepevirus ratti
";"Wang,B., Li,W., Zhou,J.H., Li,B., Zhang,W., Yang,W.H., Pan,H.,
";"Chevrier's Field Mouse (Apodemus chevrieri) and Pere David's Vole
";NA;"Sanger dideoxy sequencing
";         1..6974;NA;"""Rocahepevirus ratti""";"""genomic RNA""";"""liver""";"""Eothenomys melanogaster""";"""China""";NA
2500380099;NC_076592;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Reuter,G., Boros,A., Matics,R., Kapusinszky,B., Delwart,E. and
";"A novel avian-like hepatitis E virus in wild aquatic bird, little
";"GeneDoc v. 2.7
";"Illumina; Sanger dideoxy sequencing
";         1..6660;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""fecal sample""";"""Egretta garzetta (little egret)""";"""Hungary""";"""ORF1"""
2459380778;ON887283;"Rocahepevirus ratti
";"Rocahepevirus ratti
";"Wu,H., Li,B., Hu,L., Zhou,L. and Lu,Y.
";"Direct Submission
";"MEGAHIT v. 1.2.9; SPAdes v. 3.14.1
";"Illumina
";         1..6852;NA;"""Rocahepevirus ratti""";"""genomic RNA""";"""liver""";"""Rattus tanezumi""";"""China: Yunnan Province""";"""ORF1"""
2459380773;ON887282;"Rocahepevirus ratti
";"Rocahepevirus ratti
";"Wu,H., Li,B., Hu,L., Zhou,L. and Lu,Y.
";"Direct Submission
";"MEGAHIT v. 1.2.9; SPAdes v. 3.14.1
";"Illumina
";         1..6846;NA;"""Rocahepevirus ratti""";"""genomic RNA""";"""liver""";"""Rattus tanezumi""";"""China: Yunnan Province""";"""ORF1"""
2450965461;OP610066;"Rocahepevirus sp.
";"Rocahepevirus sp.
";"Rodriguez,C., Marchand,S., Sessa,A., Cappy,P. and Pawlotsky,J.M.
";"Orthohepevirus C hepatitis, an underdiagnosed disease?
";"SPADES v. 3.15.3
";"Illumina
";         1..6962;NA;"""Rocahepevirus sp.""";"""genomic RNA""";"""liver biopsy from male""";"""Homo sapiens""";"""France""";NA
2449540654;ON759255;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Tian,W.
";"Sporadic, zoonotic Hepatitis E Virus infection in Eastern China
";"SPAdes v. 3.11.0
";"Illumina
";         1..7241;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""stool""";"""Homo sapiens""";"""China""";"""genotype: 4"""
2449540649;ON759254;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Tian,W.
";"Sporadic, zoonotic Hepatitis E Virus infection in Eastern China
";"SPAdes v. 3.11.0
";"Illumina
";         1..7239;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""stool""";"""Homo sapiens""";"""China""";"""genotype: 4"""
2438604666;ON226518;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7218;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2438604662;ON226517;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7180;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2438604658;ON226516;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7203;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2438604654;ON226515;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7227;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2438604650;ON226514;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7235;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2438604646;ON226513;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7243;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2438604641;ON226512;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7209;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2438604637;ON226511;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7194;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2438604633;ON226510;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Zhang,B. and Song,X.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7202;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""stool swab""";"""Tibetan pig""";"""China""";"""ORF1"""
2432630257;OQ077986;"Hepeviridae sp. (blood metagenome)
";"Hepeviridae sp.
";"Ashraf,S., Jerome,H., Bugembe,D.L., Ssemwanga,D., Byaruhanga,T.,
";"Emerging viruses are an underestimated cause of undiagnosed febrile
";"IDBA_UD v. 1.1.3; SPAdes v. 3.11.1; Tanoti
";"Illumina
";         1..7202;NA;"""Hepeviridae sp.""";"""genomic RNA""";"""blood""";"""Homo sapiens""";"""Uganda""";"""metagenomic; genotype: 1e"""
2429124986;ON922634;"Avihepevirus magniiecur
";"Avihepevirus magniiecur
";"Matos,M., Bilic,I., Tvarogov,J., Palmieri,N., Furmanek,D.,
";"A novel genotype of avian hepatitis E virus identified in chickens
";NA;NA;         1..6639;genotype of avian hepatitis E virus identified in chickens;"""Avihepevirus magniiecur""";"""genomic RNA""";"""liver""";"""Phasianus colchicus""";"""France""";NA
2419914945;OM777188;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Baylis,S.A., O'Flaherty,N., Burke,L., Schneider,J.,
";"Direct Submission
";"Geneious Prime v. 2020.2.2
";"Illumina
";         1..7258;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Ireland""";"""ORF1"""
2413019163;OM780138;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Li S, He Q, Yan L, Li M, Liang Z, Shu J, Zhang F, Wang L and Wang
";"Infectivity and pathogenicity of different hepatitis E virus
";NA;"Sanger dideoxy sequencing
";         1..7259;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""stool""";"""Homo sapiens""";"""China""";"""genotype: HEV4"""
2413019159;OM780137;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Li S, He Q, Yan L, Li M, Liang Z, Shu J, Zhang F, Wang L and Wang
";"Infectivity and pathogenicity of different hepatitis E virus
";NA;"Sanger dideoxy sequencing
";         1..7255;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""stool""";"""Homo sapiens""";"""China""";"""genotype: HEV3b"""
2325504857;OP185389;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Chen,Z., Wei,J., Jiang,L., Ying,D., Tian,W., Zhang,M., Wen,G.,
";"Case Report: Chronic hepatitis E in a hematopoietic stem cell
";"SPAdes v. 3.14.1
";"Illumina
";         1..7265;genotype 4 causing chronic infection in a non-solid organ recipient;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""China: Henan""";"""genotype: Orthohepevirus A, 4a"""
2311527930;ON736438;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Gang,L., Jiajun,O., Siqi,C., Xin,Y. and Shoujun,L.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""feces""";"""Camelus bactrianus""";"""China""";"""ORF1"""
1862959484;LR777866;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Pierini,I.
";"Direct Submission
";NA;NA;         1..7266;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;NA;NA;"""monopartite"""
1862959476;LR777864;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Pierini,I.
";"Direct Submission
";NA;NA;         1..7266;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;NA;NA;"""monopartite"""
1862959472;LR777863;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Pierini,I.
";"Direct Submission
";NA;NA;         1..7266;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;NA;NA;"""monopartite"""
1096427572;KX589065;"little egret hepatitis E virus
";"little egret hepatitis E virus
";"Reuter,G., Boros,A., Matics,R., Kapusinszky,B., Delwart,E. and
";"A novel avian-like hepatitis E virus in wild aquatic bird, little
";"GeneDoc v. 2.7
";"Illumina; Sanger dideoxy sequencing
";         1..6660;NA;"""little egret hepatitis E virus""";"""genomic RNA""";"""fecal sample""";"""Egretta garzetta (little egret)""";"""Hungary""";"""ORF1"""
118340268;EF077630;"swine hepatitis E virus genotype 4a
";"swine hepatitis E virus genotype 4a
";"Jin,N., Zhu,G., Sun,Z., Qu,Y., Li,H. and Jin,K.
";"Hepatitis E virus genomic RNA isolate Ch-S-1
";NA;NA;         1..7261;genotype 4a isolate Ch-S-1, complete;"""swine hepatitis E virus genotype 4a""";"""genomic RNA""";"""bile""";NA;NA;"""ORF1"""
2310814148;ON263153;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Lu,G., Ou,J., Cai,S., Yin,X. and Li,S.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""feces""";"""Camelus bactrianus""";"""China""";NA
2310814144;ON263152;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Lu,G., Ou,J., Cai,S., Yin,X. and Li,S.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7214;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""feces""";"""Camelus bactrianus""";"""China""";NA
2303529674;ON009841;"Rocahepevirus ratti
";"Rocahepevirus ratti
";"Ma,X., Li,L., Wang,J., Chai,S., Zheng,G. and Duan,Z.
";"Direct Submission
";"Seqman v. 5.01; Mira v. 4.0.2
";"Illumina; Sanger dideoxy sequencing
";         1..7241;NA;"""Rocahepevirus ratti""";"""genomic RNA""";"""spleen""";"""Cricetulus sokolovi""";"""China""";NA
2303529670;ON009840;"Rocahepevirus ratti
";"Rocahepevirus ratti
";"Ma,X., Li,L., Wang,J., Chai,S., Zheng,G. and Duan,Z.
";"Direct Submission
";"Seqman v. 5.01; Mira v. 4.0.2
";"Illumina; Sanger dideoxy sequencing
";         1..7251;NA;"""Rocahepevirus ratti""";"""genomic RNA""";"""intestine""";"""Microtus fortis""";"""China""";NA
2286335306;OM747874;"Avian hepatitis E virus
";"Avian hepatitis E virus
";"Fu,F., Deng,Q. and Wei,P.
";"Direct Submission
";NA;NA;         1..6633;NA;"""Avian hepatitis E virus""";"""genomic RNA""";"""feces""";"""donglan black-bone chicken""";"""China: Guangxi""";"""methyltransferase; helicase; RdRp"""
2273980355;ON160016;"Scallop hepe-like virus
";"Scallop hepe-like virus
";"Scro,A.K., Bojko,J. and Behringer,D.C.
";"Pathobiomic survey of the Bay Scallop (Argopecten irradians) from
";"Spades v. 3.15.3
";"Illumina
";         1..8289;NA;"""Scallop hepe-like virus""";"""genomic RNA""";NA;"""Argopecten irradians""";"""USA""";NA
2284358536;LC684115;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Suzuki,R., Kobayashi,S., Mori,A., Yato,K., Sugiyama,R., Matsuda,M.,
";"Isolation and genome sequencing of hepatitis E virus genotype 1
";NA;NA;         1..7147;genotype 1;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""Homo sapiens""";"""Japan:Kobe""";"""genotype: 1"""
2075444389;MW897150;"Zhejiang orthohepevirus (gut metagenome)
";"Zhejiang orthohepevirus
";"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J.,
";"RNA viromes from terrestrial sites across China expand
";"Megahit v. 1.1.3
";"Illumina
";         1..6790;NA;"""Zhejiang orthohepevirus""";"""genomic RNA""";"""chicken feces""";NA;"""China: Zhejiang""";"""metagenomic"""
2075444383;MW897129;"Hubei sediment hepe-like virus 4 (sediment metagenome)
";"Hubei sediment hepe-like virus 4
";"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J.,
";"RNA viromes from terrestrial sites across China expand
";"Megahit v. 1.1.3
";"Illumina
";         1..5383;NA;"""Hubei sediment hepe-like virus 4""";"""genomic RNA""";"""lake sediment""";NA;"""China: Hubei""";"""metagenomic"""
2242598894;ON125112;"Freshwater macrophyte associated hepe-like virus 1
";"Freshwater macrophyte associated hepe-like virus 1
";"Rosario,K., Van Bogaert,N., Lopez Figueroa,N., Paliogiannis,H.,
";"Freshwater macrophytes harbor viruses representing all five major
";"SPAdes v. 3.11.1
";"Illumina
";         1..9037;NA;NA;"""genomic RNA""";NA;NA;"""USA: Florida""";NA
2274568189;ON211938;"Ferret hepatitis E virus
";"Ferret hepatitis E virus
";"Lean,F.Z.X., Leblond,A.-L., Byrne,A.M.P., Mollett,B.C., James,J.,
";"Subclinical hepatitis E virus infection in laboratory ferrets in
";"https://github.com/AMPByrne/WGS/blob/maste
";"Illumina
";         1..6840;NA;"""Ferret hepatitis E virus""";"""genomic RNA""";"""liver""";"""Mustela putorius furo""";"""United Kingdom""";"""ORF1"""
2274568186;ON211937;"Ferret hepatitis E virus
";"Ferret hepatitis E virus
";"Lean,F.Z.X., Leblond,A.-L., Byrne,A.M.P., Mollett,B.C., James,J.,
";"Subclinical hepatitis E virus infection in laboratory ferrets in
";"https://github.com/AMPByrne/WGS/blob/maste
";"Illumina
";         1..6820;NA;"""Ferret hepatitis E virus""";"""genomic RNA""";"""liver""";"""Mustela putorius furo""";"""United Kingdom""";"""nonfunctional polyprotein due to mutation; ORF1"""
2273787858;ON644869;"Rocahepevirus ratti (rat metagenome)
";"Rocahepevirus ratti
";"de Cock,M.
";"Screen the unforeseen: microbiome-profiling techniques for
";"SPAdes v. 3.13.0
";"Illumina
";         1..6877;NA;"""Rocahepevirus ratti""";"""genomic RNA""";"""rat liver""";"""Rattus rattus""";"""Netherlands: Baarle Nassau""";"""metagenomic"""
2270219298;OL658617;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Pierini,I.
";"First case of hepatitis E in the porcupine (Hystrix cristata)
";"Trinity v. Galaxy Version 2.8.5; Bowtie2
";"Illumina; Sanger dideoxy sequencing
";         1..7230;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""Hystrix cristata""";"""Italy""";"""genotype: 3"""
2252911725;OK340742;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"De Sabato,L., Suffredini,E., Pasquale,S.D., La Rosa,G., De
";"Novel subtypes and unexpected heterogeneity of hepatitis E viral
";"Bowtie v. 2
";"IonTorrent
";         1..7209;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""wild boar""";"""Italy""";"""genotype: 3"""
2252911721;OK340741;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"De Sabato,L., Suffredini,E., Pasquale,S.D., La Rosa,G., De
";"Novel subtypes and unexpected heterogeneity of hepatitis E viral
";"Bowtie v. 2
";"IonTorrent
";         1..7202;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""wild boar""";"""Italy""";"""genotype: 3"""
2252911717;OK340740;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"De Sabato,L., Suffredini,E., Pasquale,S.D., La Rosa,G., De
";"Novel subtypes and unexpected heterogeneity of hepatitis E viral
";"Bowtie v. 2
";"IonTorrent
";         1..7226;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""wild boar""";"""Italy""";"""genotype: 3"""
2252911713;OK340739;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"De Sabato,L., Suffredini,E., Pasquale,S.D., La Rosa,G., De
";"Novel subtypes and unexpected heterogeneity of hepatitis E viral
";"Bowtie v. 2
";"IonTorrent
";         1..7196;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""wild boar""";"""Italy""";"""genotype: 3"""
2252911709;OK340738;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"De Sabato,L., Suffredini,E., Pasquale,S.D., La Rosa,G., De
";"Novel subtypes and unexpected heterogeneity of hepatitis E viral
";"Bowtie v. 2
";"IonTorrent
";         1..7222;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""wild boar""";"""Italy""";"""genotype: 3"""
2252911705;OK340737;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"De Sabato,L., Suffredini,E., Pasquale,S.D., La Rosa,G., De
";"Novel subtypes and unexpected heterogeneity of hepatitis E viral
";"Bowtie v. 2
";"Illumina
";         1..7210;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""wild boar""";"""Italy""";"""genotype: 3"""
2252885151;OK429319;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Di Bartolo,I., Vaccari,G., De Sabato,L., Pierini,I. and
";"High heterogeneity of hepatitis E virus in wild boar captured in a
";"Bowtie v. 2
";"Illumina
";         1..7231;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""wild boar""";"""Italy""";"""genotype: 3"""
2252885147;OK429318;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"De Sabato,L., Suffredini,E., Pasquale,S.D., La Rosa,G., De
";"Novel subtypes and unexpected heterogeneity of hepatitis E viral
";"Bowtie v. 2
";"Illumina
";         1..7231;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""liver""";"""wild boar""";"""Italy""";"""genotype: 3"""
2125220344;MZ542728;"Rocahepevirus ratti
";"Rocahepevirus ratti
";"Ma,X., Li,L., Wang,J., Chai,S., Duan,Z. and Zheng,G.
";"Direct Submission
";NA;NA;         1..6998;NA;"""Rocahepevirus ratti""";"""genomic RNA""";"""liver""";"""Rattus norvegicus""";"""China""";NA
2220285103;MW365406;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Cao,H. and Zhang,B.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7223;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""feces""";"""Sus scrofa""";"""China""";"""ORF1"""
2220285099;MW365405;"Swine hepatitis E virus
";"Swine hepatitis E virus
";"Cao,H. and Zhang,B.
";"Direct Submission
";NA;"Sanger dideoxy sequencing
";         1..7244;NA;"""Swine hepatitis E virus""";"""genomic RNA""";"""feces""";"""Sus scrofa""";"""China""";"""ORF1"""
2219517467;LC573546;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Takahashi,M., Kunita,S., Kawakami,M., Kadosaka,T., Fujita,H.,
";"First Detection and Characterization of Rat Hepatitis E Virus
";NA;NA;         1..7012;NA;"""Paslahepevirus balayani""";"""genomic RNA""";"""rat liver""";"""Rattus rattus""";"""Japan""";"""complete genome"""
2211517281;OM037109;"Avihepevirus magniiecur
";"Avihepevirus magniiecur
";"Kai,M., Yuan,Y. and Xia,Z.
";"Direct Submission
";"Illumina Novaseq 6000 v. PE150
";"Illumina
";         1..6649;NA;"""Avihepevirus magniiecur""";"""genomic RNA""";"""tissue""";"""chicken""";"""China""";"""ORF1"""
2210673322;OM388298;"Paslahepevirus balayani
";"Paslahepevirus balayani
";"Collignon,L., Verhoye,L., Hakze-Van der Honing,R., Van der
";"Study of Hepatitis E Virus-4 Infection in Human Liver-Chimeric,
";NA;"Sanger dideoxy sequencing
";         1..7229;NA;"""Paslahepevirus balayani""";"""genomic RNA""";NA;"""swine""";"""Belgium""";"""genotype: 4"""
